Date,Rise,Set,DayLength,DayLengthDiff,Meridian,Altitude,Distance
2024-11-01,07:27:00,17:51:40,10:24:40,-00:02:22,12:39:35,34.6,148459000
2024-11-02,07:28:10,17:50:29,10:22:19,-00:02:21,12:39:35,34.3,148420000
2024-11-03,06:29:20,16:49:20,10:19:59,-00:02:20,11:39:35,34.0,148382000
2024-11-04,06:30:31,16:48:12,10:17:40,-00:02:19,11:39:36,33.6,148344000
2024-11-05,06:31:42,16:47:06,10:15:23,-00:02:17,11:39:38,33.3,148306000
2024-11-06,06:32:53,16:46:01,10:13:08,-00:02:15,11:39:41,33.0,148268000
2024-11-07,06:34:03,16:44:58,10:10:54,-00:02:14,11:39:45,32.8,148231000
2024-11-08,06:35:14,16:43:56,10:08:42,-00:02:12,11:39:49,32.5,148194000
2024-11-09,06:36:25,16:42:56,10:06:31,-00:02:11,11:39:54,32.2,148157000
2024-11-10,06:37:36,16:41:58,10:04:22,-00:02:09,11:40:00,31.9,148121000
2024-11-11,06:38:47,16:41:02,10:02:15,-00:02:07,11:40:07,31.6,148085000
2024-11-12,06:39:57,16:40:07,10:00:09,-00:02:06,11:40:15,31.4,148050000
2024-11-13,06:41:08,16:39:14,09:58:06,-00:02:03,11:40:24,31.1,148015000
2024-11-14,06:42:18,16:38:23,09:56:05,-00:02:01,11:40:33,30.8,147982000
2024-11-15,06:43:28,16:37:34,09:54:05,-00:02:00,11:40:43,30.6,147948000
2024-11-16,06:44:38,16:36:47,09:52:08,-00:01:57,11:40:55,30.3,147916000
2024-11-17,06:45:48,16:36:02,09:50:13,-00:01:55,11:41:07,30.1,147884000
2024-11-18,06:46:58,16:35:19,09:48:20,-00:01:53,11:41:19,29.9,147853000
2024-11-19,06:48:07,16:34:37,09:46:30,-00:01:50,11:41:33,29.6,147823000
2024-11-20,06:49:15,16:33:58,09:44:42,-00:01:48,11:41:47,29.4,147793000
2024-11-21,06:50:24,16:33:21,09:42:57,-00:01:45,11:42:03,29.2,147764000
2024-11-22,06:51:32,16:32:46,09:41:14,-00:01:43,11:42:19,29.0,147736000
2024-11-23,06:52:39,16:32:13,09:39:34,-00:01:40,11:42:36,28.8,147708000
2024-11-24,06:53:46,16:31:42,09:37:56,-00:01:38,11:42:53,28.6,147681000
2024-11-25,06:54:52,16:31:14,09:36:21,-00:01:35,11:43:12,28.4,147654000
2024-11-26,06:55:57,16:30:47,09:34:50,-00:01:31,11:43:31,28.2,147628000
2024-11-27,06:57:02,16:30:23,09:33:21,-00:01:29,11:43:51,28.0,147602000
2024-11-28,06:58:06,16:30:01,09:31:55,-00:01:26,11:44:12,27.9,147577000
2024-11-29,06:59:09,16:29:41,09:30:32,-00:01:23,11:44:33,27.7,147552000
2024-11-30,07:00:11,16:29:24,09:29:12,-00:01:20,11:44:55,27.5,147528000
